VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
80,small,low,80,Low Density,4.415625,2.0005256847054738,1.589625,1.9037534380054355,0.176625,0.0
80,small,low,80,Medium Density,8.83125,10.450186742137868,3.17925,4.79492334409407,0.35325,2.107484483689727
80,small,low,80,High Density,17.6625,20.988101914148046,6.3585,8.349998167616832,0.7065,1.4078337644081171
80,small,normal,80,Low Density,35.325,39.22216335315169,12.717,14.233457649662729,1.413,2.453653132254147
80,small,normal,80,Medium Density,70.65,74.67508538114514,25.434,30.047527342932916,2.826,3.5506664551695626
80,small,normal,80,High Density,141.3,145.99662753204416,50.868,55.9213768100666,5.652,7.14643234694787
80,medium,low,80,Low Density,4.415625,12.008125905628722,1.589625,29.989145594967823,0.176625,3.432124674487989
80,medium,low,80,Medium Density,8.83125,13.916387295881298,3.17925,41.071072138462604,0.35325,24.843915223009983
80,medium,low,80,High Density,17.6625,22.85960474306019,6.3585,35.81726895816371,0.7065,2.7320248317474993
80,medium,normal,80,Low Density,35.325,41.23319657476054,12.717,20.74203879858717,1.413,9.959781214589695
80,medium,normal,80,Medium Density,70.65,77.65578268942579,25.434,32.494291376806316,2.826,7.585811933176452
80,medium,normal,80,High Density,141.3,150.4028601231606,50.868,59.358782310167825,5.652,9.33543455342291
80,large,low,80,Low Density,4.415625,19.02039483670667,1.589625,49.717494593719685,0.176625,11.266435875008003
80,large,low,80,Medium Density,8.83125,26.784116269146956,3.17925,75.57657063872313,0.35325,31.48950079912764
80,large,low,80,High Density,17.6625,70.43243461334151,6.3585,30.273425500170916,0.7065,12.382901424613719
80,large,normal,80,Low Density,35.325,45.46761652195512,12.717,27.27609733077299,1.413,33.6951783944863
80,large,normal,80,Medium Density,70.65,79.37528141035197,25.434,40.0695594885604,2.826,24.12882225672777
80,large,normal,80,High Density,141.3,150.37478186380423,50.868,70.33486621640984,5.652,17.026344521133915
100,small,low,100,Low Density,4.415625,6.7343466697694545,1.589625,9.607958108402311,0.176625,0.0
100,small,low,100,Medium Density,8.83125,10.581225917912564,3.17925,4.612728413732645,0.35325,0.0
