VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
80,small,low,80,Low Density,4.415625,4.007986162331892,1.589625,1.2668899402189755,0.176625,0.09987972916280408
80,small,low,80,Medium Density,8.83125,7.684737489857537,3.17925,2.9910919985361843,0.35325,0.2642841521226002
80,small,low,80,High Density,17.6625,15.401617982847615,6.3585,5.450043071545639,0.7065,0.6725805285611494
80,small,normal,80,Low Density,35.325,38.104379690042556,12.717,13.715299253989526,1.413,1.5886869881038408
80,small,normal,80,Medium Density,70.65,72.34546496127824,25.434,26.392585859105523,2.826,3.1176020123206687
80,small,normal,80,High Density,141.3,141.11663109499713,50.868,50.879987597121385,5.652,5.910681876995213
80,medium,low,80,Low Density,4.415625,3.903653653846581,1.589625,1.9488080125348106,0.176625,0.10532182485336167
80,medium,low,80,Medium Density,8.83125,8.999267359420967,3.17925,3.3707820595378966,0.35325,0.4303849439673584
80,medium,low,80,High Density,17.6625,15.23899406710832,6.3585,5.617366015945246,0.7065,0.3207808356603769
80,medium,normal,80,Low Density,35.325,38.45187877674002,12.717,14.413931169129715,1.413,1.5964221492676607
80,medium,normal,80,Medium Density,70.65,71.73352728044578,25.434,26.854221837697043,2.826,3.192685404367417
80,medium,normal,80,High Density,141.3,141.17408203816169,50.868,51.371468835594044,5.652,5.063921745400259
80,large,low,80,Low Density,4.415625,3.6796397669808445,1.589625,1.7041905050364041,0.176625,0.04626785859395417
80,large,low,80,Medium Density,8.83125,5.2376832936218385,3.17925,3.665399686596077,0.35325,0.5858628037343114
80,large,low,80,High Density,17.6625,15.202165329681552,6.3585,5.479913615642932,0.7065,0.4217771672617042
80,large,normal,80,Low Density,35.325,38.8375367904635,12.717,14.495284044608315,1.413,1.5409867774876806
80,large,normal,80,Medium Density,70.65,70.05385199213877,25.434,26.832613081406024,2.826,3.540966094413213
80,large,normal,80,High Density,141.3,141.47710110280826,50.868,51.49478207150212,5.652,5.776805358207412
100,small,low,100,Low Density,4.415625,3.9214304980048484,1.589625,1.2241134825260407,0.176625,0.09081377781284082
100,small,low,100,Medium Density,8.83125,7.524155174216158,3.17925,2.962693000389054,0.35325,0.24482046410358038
100,small,low,100,High Density,17.6625,15.115807160521939,6.3585,5.350115355165709,0.7065,0.6680483418121315
