VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
80,small,low,80,Low Density,4.415625,3.86072976374481,1.589625,1.2202403684147196,0.176625,0.09616995646427998
80,small,low,80,Medium Density,8.83125,8.13682373462827,3.17925,3.1667629417339516,0.35325,0.2798825650142526
80,small,low,80,High Density,17.6625,17.110512284476773,6.3585,6.053676592166831,0.7065,0.7469388132158543
80,small,normal,80,Low Density,35.325,36.74075116241672,12.717,13.221791103664835,1.413,1.5309273244390218
80,small,normal,80,Medium Density,70.65,71.2681656692477,25.434,25.999849201422208,2.826,3.0709351179895963
80,small,normal,80,High Density,141.3,140.43540290227483,50.868,50.63490436035522,5.652,5.882310898373724
80,medium,low,80,Low Density,4.415625,3.8393299177916904,1.589625,1.9172604088378749,0.176625,0.10358431577637298
80,medium,low,80,Medium Density,8.83125,9.745094352920795,3.17925,3.6537981398845027,0.35325,0.4669199840181064
80,medium,low,80,High Density,17.6625,17.363390414412887,6.3585,6.400560945230149,0.7065,0.3655591099764953
80,medium,normal,80,Low Density,35.325,37.68271289975736,12.717,14.130933103136668,1.413,1.5643607913764432
80,medium,normal,80,Medium Density,70.65,71.39660563959973,25.434,26.72611412746958,2.826,3.177263958317328
80,medium,normal,80,High Density,141.3,141.51103105098616,50.868,51.49408208245025,5.652,5.076004674342229
80,large,low,80,Low Density,4.415625,3.6301364581580766,1.589625,1.6815003620411624,0.176625,0.045643664515585894
80,large,low,80,Medium Density,8.83125,5.684055938545851,3.17925,3.968145818541919,0.35325,0.6354704135568169
80,large,low,80,High Density,17.6625,17.298280512370425,6.3585,6.236863468221962,0.7065,0.4805989950167576
80,large,normal,80,Low Density,35.325,37.47490785432831,12.717,13.99224904071274,1.413,1.4865812165880503
80,large,normal,80,Medium Density,70.65,69.19891734503693,25.434,26.516824685679723,2.826,3.498015773666495
80,large,normal,80,High Density,141.3,141.27939768376584,50.868,51.42267694620926,5.652,5.7686373583688635
100,small,low,100,Low Density,4.415625,3.8183944210574787,1.589625,1.1918710663483594,0.176625,0.08839697630990526
100,small,low,100,Medium Density,8.83125,8.091489430349766,3.17925,3.185659804083743,0.35325,0.2633515617129077
100,small,low,100,High Density,17.6625,17.093589346520833,6.3585,6.0488042797001205,0.7065,0.7551199235996852
100,small,normal,100,Low Density,35.325,36.920747861385244,12.717,13.272324433430502,1.413,1.5319658219486527
100,small,normal,100,Medium Density,70.65,71.35232958053955,25.434,26.057996105641468,2.826,3.0613215721253173
100,small,normal,100,High Density,141.3,140.5064015941018,50.868,50.68538285997901,5.652,5.910332265716275
100,medium,low,100,Low Density,4.415625,3.8162750195652877,1.589625,2.004016494384174,0.176625,0.0892867596751718
100,medium,low,100,Medium Density,8.83125,10.034938975506725,3.17925,3.7291962460894235,0.35325,0.4902665102231491
100,medium,low,100,High Density,17.6625,17.437273868734444,6.3585,6.468209722440736,0.7065,0.31935944532533916
100,medium,normal,100,Low Density,35.325,37.89995612511911,12.717,14.27325790791133,1.413,1.5588020314735727
100,medium,normal,100,Medium Density,70.65,71.63136968952558,25.434,26.84453460687594,2.826,3.2071833429735195
100,medium,normal,100,High Density,141.3,141.5807681662719,50.868,51.592190852073294,5.652,5.047537445049902
100,large,low,100,Low Density,4.415625,3.596363062271168,1.589625,1.7407272073287914,0.176625,0.028805509200961334
100,large,low,100,Medium Density,8.83125,5.3392518814691305,3.17925,4.123839352675482,0.35325,0.6788079769550364
100,large,low,100,High Density,17.6625,17.395046863375065,6.3585,6.2574449186201875,0.7065,0.4442222963796885
100,large,normal,100,Low Density,35.325,37.7697204559595,12.717,14.159793051930913,1.413,1.4684308356218239
100,large,normal,100,Medium Density,70.65,69.04921044957555,25.434,26.67744473200786,2.826,3.5645050102928773
100,large,normal,100,High Density,141.3,141.43760582843612,50.868,51.49609371290584,5.652,5.750210236374473
120,small,low,120,Low Density,4.415625,3.7888224648181517,1.589625,1.1754576879030887,0.176625,0.08001165098308297
120,small,low,120,Medium Density,8.83125,8.06375771600166,3.17925,3.1982948943836256,0.35325,0.25171909146634697
120,small,low,120,High Density,17.6625,17.057817920384224,6.3585,6.041120781877509,0.7065,0.7542493315997243
120,small,normal,120,Low Density,35.325,37.02351148497839,12.717,13.289482282691276,1.413,1.5323052815386415
120,small,normal,120,Medium Density,70.65,71.41092187254401,25.434,26.091688571266157,2.826,3.048137433955932
120,small,normal,120,High Density,141.3,140.5327793526939,50.868,50.65752203665675,5.652,5.906041983739977
120,medium,low,120,Low Density,4.415625,3.7970720985381683,1.589625,2.0479955627052546,0.176625,0.08142652131823394
120,medium,low,120,Medium Density,8.83125,10.189205435749185,3.17925,3.789484723240422,0.35325,0.5018572241015393
120,medium,low,120,High Density,17.6625,17.463493152056135,6.3585,6.484002679443944,0.7065,0.2862668951906721
120,medium,normal,120,Low Density,35.325,38.04291310817331,12.717,14.356186675456023,1.413,1.5551410596794293
