VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_agat_large,calculated_agat_medium,calculated_agat_small,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,small,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,small,low,80-motion,High Density,17.6625,11.761220962510354,6.3585,32.863872,7.1443200000000004,0.0,2.6686505144773904,0.7065000000000001,0.0,0.0
80,small,normal,80-motion,Low Density,35.325,35.72511806925789,12.717,182.18016,70.728768,0.0,12.303758253820746,1.4130000000000003,0.0,0.0
80,small,normal,80-motion,Medium Density,70.65,71.81236497289589,25.434,297.203712,128.59776,7.1443200000000004,26.558577982669238,2.8260000000000005,1.5630662953347214,0.0
80,small,normal,80-motion,High Density,141.3,144.3342068458019,50.868,340.069632,142.88639999999998,37.150464,51.61444447573377,5.652000000000001,6.151263261545781,0.0
80,medium,low,80-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,medium,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,medium,low,80-motion,High Density,17.6625,12.724741517105837,6.3585,35.007168,4.286592,0.0,1.5810274942058156,0.7065000000000001,0.0,0.0
80,medium,normal,80-motion,Low Density,35.325,34.480737951527026,12.717,182.18016,62.155584,0.0,11.001685101270322,1.4130000000000003,0.0,0.0
80,medium,normal,80-motion,Medium Density,70.65,72.61363346863557,25.434,300.06143999999995,125.74003200000001,8.573184,26.093836911996977,2.8260000000000005,2.035814103785296,0.0
80,medium,normal,80-motion,High Density,141.3,145.01125211564798,50.868,345.785088,151.459584,28.577280000000002,52.61091216636017,5.652000000000001,5.144166914931877,0.0
80,large,low,80-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,large,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,large,low,80-motion,High Density,17.6625,11.288811317398633,6.3585,40.960767999999995,0.0,0.0,0.0,0.7065000000000001,0.0,0.0
80,large,normal,80-motion,Low Density,35.325,32.71838326905685,12.717,172.178112,48.581376,0.0,10.955284415645966,1.4130000000000003,0.0,0.0
80,large,normal,80-motion,Medium Density,70.65,73.32033806154314,25.434,325.780992,131.455488,2.857728,24.802715338676812,2.8260000000000005,1.1359525649131674,0.0
80,large,normal,80-motion,High Density,141.3,151.1085827176531,50.868,400.08191999999997,167.65337599999998,14.288640000000001,52.54225191333188,5.652000000000001,3.910123089993206,0.0
100,small,low,100-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
100,small,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
100,small,low,100-motion,High Density,17.6625,12.797484222765872,6.3585,34.292736,8.573184,0.0,3.1323993664878094,0.7065000000000001,0.0,0.0
100,small,normal,100-motion,Low Density,35.325,35.38909891788918,12.717,195.039936,51.439104,0.0,11.92341752573459,1.4130000000000003,0.0,0.0
100,small,normal,100-motion,Medium Density,70.65,75.12800486383428,25.434,337.211904,128.59776,8.573184,24.546586616852093,2.8260000000000005,1.6584548535062755,0.0
100,small,normal,100-motion,High Density,141.3,149.91510511889228,50.868,385.79328,168.605952,27.862848,52.461970270928774,5.652000000000001,5.04325452528224,0.0
100,medium,low,100-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
100,medium,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
100,medium,low,100-motion,High Density,17.6625,10.063898487682792,6.3585,26.910272,4.286592,0.0,1.4853418893256374,0.7065000000000001,0.0,0.0
100,medium,normal,100-motion,Low Density,35.325,35.770574191596126,12.717,186.46675199999999,62.155584,0.0,11.365178084654332,1.4130000000000003,0.0,0.0
100,medium,normal,100-motion,Medium Density,70.65,72.58588724137392,25.434,301.01401599999997,117.166848,8.573184,24.960614299185853,2.8260000000000005,1.8563255929298934,0.0
100,medium,normal,100-motion,High Density,141.3,146.40323262622155,50.868,351.500544,151.459584,28.577280000000002,52.612357345120536,5.652000000000001,5.018698250177679,0.0
100,large,low,100-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
100,large,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
100,large,low,100-motion,High Density,17.6625,14.248747961978156,6.3585,36.436032,20.480384,0.0,4.039310212924032,0.7065000000000001,0.0,0.0
100,large,normal,100-motion,Low Density,35.325,35.96706431208616,12.717,186.46675199999999,41.437056,0.0,10.644889097654193,1.4130000000000003,0.0,0.0
100,large,normal,100-motion,Medium Density,70.65,73.48528097509679,25.434,311.492352,125.74003200000001,11.430912,26.271738063308167,2.8260000000000005,2.553135861804875,0.0
100,large,normal,100-motion,High Density,141.3,145.99004594851488,50.868,348.642816,147.64928,37.150464,51.74618281975234,5.652000000000001,6.0513413728855845,0.0
120,small,low,120-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,small,low,120-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,small,low,120-motion,High Density,17.6625,16.139322914774493,6.3585,108.35552,11.669055999999998,0.0,3.872369554274428,0.7065000000000001,0.0,0.0
120,small,normal,120-motion,Low Density,35.325,37.498645790326464,12.717,195.039936,75.01535999999999,2.857728,13.070491621879068,1.4130000000000003,1.015921745293684,0.0
