cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
1pt,80,small,low,80,Low Density,4.415625,4.237587787950765,1.589625,1.696553338124665,0.176625,-0.03556830681511269,0.3013835499689501
1pt,80,small,low,80,Medium Density,8.83125,8.673530641282175,3.17925,3.1482945786754764,0.35325,0.7736759507216866,0.3013835499689501
1pt,80,small,low,80,High Density,17.6625,16.701821803316747,6.3585,5.823755327374143,0.7065,0.031432104134333866,0.3013835499689501
1pt,80,small,normal,80,Low Density,35.325,36.54255523263667,12.717,13.367700951892836,1.413,1.8539339516900606,-0.2808582876634451
1pt,80,small,normal,80,Medium Density,70.65,67.41853556351582,25.434,25.38699726101138,2.826,2.6361430698680084,-0.2808582876634451
1pt,80,small,normal,80,High Density,141.3,132.7911476420854,50.868,47.59344499058327,5.652,5.513547001380452,-0.2808582876634451
1pt,80,medium,low,80,Low Density,4.415625,5.6272486991167385,1.589625,2.703870228265266,0.176625,-0.035825361353745644,0.3644460321077163
1pt,80,medium,low,80,Medium Density,8.83125,9.695632936157905,3.17925,3.0580086254903645,0.35325,0.762058940480606,0.3644460321077163
1pt,80,medium,low,80,High Density,17.6625,16.856069643627006,6.3585,6.256190770977746,0.7065,0.9727602001125851,0.3644460321077163
1pt,80,medium,normal,80,Low Density,35.325,34.737610439079035,12.717,12.507653213727878,1.413,2.031542436353044,-0.37117801724366617
1pt,80,medium,normal,80,Medium Density,70.65,65.51603446965538,25.434,24.241193411190462,2.826,2.6919101855953778,-0.37117801724366617
1pt,80,medium,normal,80,High Density,141.3,129.92916731799025,50.868,47.64525146004368,5.652,4.819784875342883,-0.37117801724366617
1pt,80,large,low,80,Low Density,4.415625,6.726770496851891,1.589625,0.9684777446640891,0.176625,-0.03292825620047604,0.6469890258872382
1pt,80,large,low,80,Medium Density,8.83125,9.312135896797228,3.17925,2.601391920905881,0.35325,0.4038831733966746,0.6469890258872382
1pt,80,large,low,80,High Density,17.6625,17.145733611489693,6.3585,4.694505866231647,0.7065,0.12511914872472882,0.6469890258872382
1pt,80,large,normal,80,Low Density,35.325,33.26353856746456,12.717,12.13043455908457,1.413,1.6321339888439461,0.8284726140384685
1pt,80,large,normal,80,Medium Density,70.65,64.65225990004659,25.434,23.888159317793267,2.826,3.303221487332644,0.8284726140384685
