VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,small,low,80,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,20.39873397156663,18.953019603719802,14.795797964148852,9.015966525348546
80,small,low,80,Medium Density,8.83125,5.502958379486533,3.17925,3.0674180221519514,0.35325,0.0,54.64040051240511,35.59999175644238,19.674662484866108,9.015966525348546
80,small,low,80,High Density,17.6625,19.353752823612194,6.3585,5.86658347021322,0.7065,1.0567895010751842,185.1451940519909,65.0014701170336,19.424676293842495,9.015966525348546
80,small,normal,80,Low Density,35.325,37.58068105209405,12.717,12.650200426744174,1.413,1.9166389913222197,274.8832852179958,107.10525280024075,24.72439873105635,9.015966525348546
80,small,normal,80,Medium Density,70.65,73.29999242982385,25.434,28.499569626808697,2.826,3.5506664551695626,320.8836178700501,148.970980040441,36.90926523256036,9.015966525348546
80,small,normal,80,High Density,141.3,144.35476425874748,50.868,51.671765316700345,5.652,7.076467275019709,366.9847619580729,167.8054671732669,41.76574356404915,9.015966525348546
80,medium,low,80,Low Density,4.415625,9.30501793855177,1.589625,14.824893674058417,0.176625,2.2136719060811214,84.606549907972,51.472709797280835,31.468253813007756,12.797139403489329
80,medium,low,80,Medium Density,8.83125,12.261638456638178,3.17925,43.15035524068881,0.35325,4.307157079887636,104.75614418854644,101.90093085864292,47.45553070890428,12.797139403489329
80,medium,low,80,High Density,17.6625,20.70377813482936,6.3585,30.964334063527808,0.7065,1.6541556598471185,169.8353314937408,99.96511171307128,24.81938090903048,12.797139403489329
80,medium,normal,80,Low Density,35.325,40.4620195505461,12.717,19.721399425538074,1.413,4.578275987576864,280.88984663863346,152.8195308120566,44.73675420748337,12.797139403489329
80,medium,normal,80,Medium Density,70.65,76.3119103952352,25.434,30.505323770037762,2.826,5.846897584153492,337.17561610988264,166.1511568871413,51.69011443902849,12.797139403489329
80,medium,normal,80,High Density,141.3,146.78154059071983,50.868,57.341352532605136,5.652,8.828878875714626,374.8076482774014,182.21222719111108,55.773664080080444,12.797139403489329
80,large,low,80,Low Density,4.415625,34.64275226953315,1.589625,44.57963450216339,0.176625,10.13553308287701,149.23900183768217,183.03388555436422,95.45686164201825,17.219623828126213
80,large,low,80,Medium Density,8.83125,24.95462104527553,3.17925,72.46415883072345,0.35325,37.961200378576734,208.00769829076734,199.88784197499615,87.5688385964342,17.219623828126213
80,large,low,80,High Density,17.6625,67.82237438085467,6.3585,29.213236845333284,0.7065,11.66462680045778,258.32757161907875,246.44746730870133,107.03528483198184,17.219623828126213
80,large,normal,80,Low Density,35.325,44.00085834349885,12.717,44.452260365196366,1.413,29.392224424988754,327.23405053298814,204.4463430695194,132.55998177988522,17.219623828126213
80,large,normal,80,Medium Density,70.65,77.96956483116391,25.434,56.95807549924082,2.826,31.734232726360602,371.7721686870931,232.86145714194294,98.54017857979153,17.219623828126213
80,large,normal,80,High Density,141.3,149.45629555595463,50.868,69.05154921870175,5.652,15.75989980290968,394.2895250282745,280.8381092499267,125.63959585661439,17.219623828126213
100,small,low,100,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,22.277113356626042,23.68470742649584,17.70489580021385,15.63606913327985
