VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,ground_truth_mass_medium,ground_truth_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,small,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.1442847314346723,0.04019302173096289,9.076787404508548e-6,2.7150253624976027e-7
80,small,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,5.970615710693189,0.9402524168379909,0.00038897145052038483,2.7150253624976027e-7
80,small,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,112.38943400152012,30.845971091674905,1.0861939780035364e-5,2.715025362497602e-7
80,small,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,252.11885337815238,92.87638643537066,6.114026507244734,1.9790625321208833e-7
80,small,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,312.07716098534127,132.691822834174,17.445767842165697,1.9790625321208833e-7
80,small,normal,80-motion,High Density,141.3,50.868,5.652000000000001,356.0323021057279,151.6846119626897,38.75164774744247,1.9790625321208833e-7
80,medium,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.05341960909267319,0.013837348518952615,1.5174890727236615e-5,2.979250230973322e-7
80,medium,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,4.803245917122748,0.8647518542233561,0.003439140975608326,2.979250230973322e-7
80,medium,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,122.93894583533933,28.325136465973678,0.002357456446376954,2.979250230973322e-7
80,medium,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,253.15074432917305,87.3492797757537,7.333169585182225,5.0097531441222306e-5
80,medium,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,317.54164856933204,130.5790328421623,20.229379230292174,5.0097531441222306e-5
80,medium,normal,80-motion,High Density,141.3,50.868,5.652000000000001,362.13609765724357,158.57932765398064,31.013124104153427,5.009753144122231e-5
80,large,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.5243390420284895,0.05386156983112565,0.03001645501584157,0.028578798322496025
80,large,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,6.291605226937491,0.48757680057233577,0.039225996689060134,0.028578798322496025
80,large,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,127.09702302335319,13.900941482109454,0.03155689644461236,0.028578798322496022
80,large,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,306.5349360973743,156.3877066558178,60.8682759687908,58.478681733048
80,large,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,404.23935133142913,199.18473713765377,72.79416656134072,58.478681733048
80,large,normal,80-motion,High Density,141.3,50.868,5.652000000000001,478.18497656179653,234.07623638955528,89.30755880560811,58.478681733048
100,small,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.003736584899554758,0.001137322721095286,2.570569606360489e-7,3.7957184994391583e-13
100,small,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,2.369746689697017,0.02031548503046749,1.7963032129976954e-6,3.7957184994391583e-13
100,small,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,118.13397415447318,28.889454350953287,0.007680277996030597,3.7957184994391583e-13
100,small,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,260.2424691290398,99.21069572586356,0.4867293781619981,9.22022003613752e-17
100,small,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,346.4749651838918,133.31827575532543,15.659803870815228,9.22022003613752e-17
100,small,normal,100-motion,High Density,141.3,50.868,5.652000000000001,404.37414485422306,174.628300457865,38.46296650468257,9.22022003613752e-17
100,medium,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.06215940926694942,0.0006674510550705165,5.57181096831256e-5,7.658819778626754e-8
100,medium,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,4.326939570748761,0.05417020565315894,0.0013069266113413444,7.658819778626754e-8
100,medium,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,101.63150552672442,15.32592276646382,3.425255906726303e-5,7.658819778626754e-8
100,medium,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,258.52662018159674,85.26606534166021,2.5476563352818697,4.43697254550549e-6
100,medium,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,311.9401794842371,124.7905594926532,18.98709294699039,4.43697254550549e-6
100,medium,normal,100-motion,High Density,141.3,50.868,5.652000000000001,367.1230433268271,157.6328426803326,29.920148623273974,4.43697254550549e-6
100,large,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.7423418604179333,1.5879431681575922,0.0007506372881152558,0.0002047754008976841
100,large,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,6.282197454656406,2.2130770355690874,0.0005332564711541212,0.0002047754008976841
100,large,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,138.79223315719966,38.0411238828432,0.13674402602069657,0.0002047754008976841
100,large,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,253.13646806276446,87.60018813977204,3.6096819456753604,2.1808003071231812e-5
100,large,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,317.3159654549194,129.77632803283308,23.52590443992588,2.1808003071231812e-5
100,large,normal,100-motion,High Density,141.3,50.868,5.652000000000001,364.6709445302189,154.7996730941311,38.69698349735954,2.1808003071231812e-5
120,small,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.007824376658475417,3.1532480524187222e-6,1.3339773357928462e-9,1.3945599549728923e-11
120,small,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,2.2181841585053617,0.2532761800264288,2.0196465935881092e-5,1.3945599549728923e-11
120,small,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,129.49625413140572,24.32612773843741,1.1195830998122536,1.3945599549728923e-11
120,small,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,250.31218610995077,94.99012051226676,8.451089406429492,7.821868321172496e-6
120,small,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,301.0291836146305,127.4950275385761,21.862253900887556,7.821868321172496e-6
120,small,normal,120-motion,High Density,141.3,50.868,5.652000000000001,347.075835590601,148.69807996421542,31.000538427828126,7.821868321172498e-6
120,medium,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,1.716497591487476,0.002001102899916572,8.192052208462212e-8,8.811172883757583e-12
120,medium,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,5.088614320302561,1.4491558502404587,2.912835315544338e-7,8.811172883757583e-12
120,medium,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,114.18489816946908,29.549776133440368,0.0027509951915082984,8.811172883757582e-12
120,medium,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,249.98645411485535,93.76989126238301,0.6954072288489368,6.64041414940467e-13
120,medium,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,321.89050676838565,127.06424513381012,17.403185443300952,6.64041414940467e-13
120,medium,normal,120-motion,High Density,141.3,50.868,5.652000000000001,371.7697490985014,167.38189313172842,32.26767391249173,6.64041414940467e-13
120,large,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,11.228257972801938,0.00024814581320548414,5.00261370034445e-6,9.070837019297282e-10
120,large,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,0.21156933700563543,0.3206699453600833,1.0286633948580973e-6,9.070837019297282e-10
120,large,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,119.61533663199849,10.770834937869303,0.0011874279553536833,9.070837019297282e-10
120,large,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,253.53157467533487,98.06633072527,11.624156316868813,0.00021622838283564928
120,large,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,304.3565607335168,128.46176846425172,26.407993675438036,0.00021622838283564928
120,large,normal,120-motion,High Density,141.3,50.868,5.652000000000001,351.4327032030447,152.79238332698083,36.11473270286475,0.00021622838283564928
135,small,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.0038236400743768325,0.000310118233020662,6.483462322094703e-7,7.483403030412224e-12
135,small,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,1.1566407700073726,0.02845177565843115,0.0004739853763255614,7.483403030412224e-12
135,small,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,121.34166100555778,18.72861209437459,0.0018172792058393675,7.483403030412224e-12
135,small,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,255.26106379230293,95.37871385032086,1.8628717240201789,7.916043862881546e-15
135,small,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,324.3204309336287,137.3031348439199,20.255701023822553,7.916043862881546e-15
135,small,normal,135-motion,High Density,141.3,50.868,5.652000000000001,380.4624021269513,171.4143948647042,38.552883521779336,7.916043862881546e-15
135,medium,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.18147684152002158,0.028327400380292224,7.747932266091865e-7,4.161358147552617e-9
135,medium,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,2.5307775140841096,1.6286363898667848,5.003350576045862e-5,4.161358147552617e-9
135,medium,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,142.5774187390199,42.9169247448289,0.03489317066201085,4.161358147552617e-9
135,medium,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,299.2788559441168,140.2738651886189,50.661147401870394,48.36610153401053
135,medium,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,369.83961873232687,178.1452899833611,70.07213453059451,48.36610153401053
135,medium,normal,135-motion,High Density,141.3,50.868,5.652000000000001,408.85417308520357,203.8784074519136,76.66342838510613,48.36610153401053
135,large,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,0.04395166341343662,0.007827419530235484,2.7480994107901664e-5,1.5397401611894407e-11
135,large,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,6.0980343440166935,0.614696334548979,0.004888082668221347,1.5397401611894407e-11
135,large,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,115.50925218017382,22.62799604484305,0.2563216116189371,1.5397401611894407e-11
135,large,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,261.07286823126225,91.96501036941402,0.12328630011869827,5.293868170983061e-13
135,large,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,334.77755172464236,135.4656064128455,19.94942716967335,5.293868170983061e-13
135,large,normal,135-motion,High Density,141.3,50.868,5.652000000000001,396.58083164317566,168.88573266981012,36.532862474434374,5.293868170983061e-13
