VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80-motion,Low Density,4.415625,3.726750091172543,1.589625,1.5159002082229716,0.17662500000000003,-0.2994186560348641,-0.47101782522282676
80,small,low,80-motion,Medium Density,8.83125,10.357807357215457,3.17925,3.134247594358479,0.35325000000000006,0.6103255101759606,-0.48189232157306466
80,small,low,80-motion,High Density,17.6625,18.008089597870732,6.3585,6.172846676634402,0.7065000000000001,0.02327233731082505,0.27459320550952415
80,small,normal,80-motion,Low Density,35.325,37.176974122049714,12.717,13.999231790723105,1.4130000000000003,1.5863879693316476,-0.5727014931983985
80,small,normal,80-motion,Medium Density,70.65,71.03599471587886,25.434,26.31092226778268,2.8260000000000005,2.724199111851117,-0.057542867358613414
80,small,normal,80-motion,High Density,141.3,142.21197767229845,50.868,51.28295602045333,5.652000000000001,5.88203587255974,-0.36358759076642433
80,medium,low,80-motion,Low Density,4.415625,5.790226256583168,1.589625,2.7906549011441086,0.17662500000000003,0.0710148981643054,-0.22496071995007016
80,medium,low,80-motion,Medium Density,8.83125,10.639283409329396,3.17925,2.9149464180764966,0.35325000000000006,0.6437202204563841,-0.3887354277497572
80,medium,low,80-motion,High Density,17.6625,19.203788718150154,6.3585,6.877704864899072,0.7065000000000001,0.6859906207896701,-0.4625922658562865
80,medium,normal,80-motion,Low Density,35.325,35.67535738127096,12.717,13.031194281150249,1.4130000000000003,2.206664400161624,-0.46089040222190836
80,medium,normal,80-motion,Medium Density,70.65,71.22962791935662,25.434,25.94826452382568,2.8260000000000005,2.909671561026437,-0.3000735142584501
80,medium,normal,80-motion,High Density,141.3,141.69181010853677,50.868,51.72894555253146,5.652000000000001,5.271239460141613,-0.35615205391045457
80,large,low,80-motion,Low Density,4.415625,5.5584482710372765,1.589625,1.1843753437808093,0.17662500000000003,0.28927527498360006,0.5603663833190702
80,large,low,80-motion,Medium Density,8.83125,10.351552835430837,3.17925,2.8645956895551916,0.35325000000000006,0.6296525847212472,0.195318110585039
80,large,low,80-motion,High Density,17.6625,19.22119111974598,6.3585,5.722020326031563,0.7065000000000001,0.2560261346904986,0.47263219111898896
80,large,normal,80-motion,Low Density,35.325,35.43716703206203,12.717,12.261000242218287,1.4130000000000003,1.3640070941155211,-0.05223837969022991
80,large,normal,80-motion,Medium Density,70.65,72.06469039575465,25.434,24.74339991297046,2.8260000000000005,2.6642499807751125,0.5281011506874721
80,large,normal,80-motion,High Density,141.3,142.19416019952527,50.868,48.962460170699416,5.652000000000001,4.204369095870028,0.1384837020465325
100,small,low,100-motion,Low Density,4.415625,3.7228956489587626,1.589625,1.9453762743795844,0.17662500000000003,0.2127796708879673,-0.011581261770622145
100,small,low,100-motion,Medium Density,8.83125,9.0312997067354,3.17925,3.376049119655082,0.35325000000000006,0.40596050371067255,-0.29498343257791987
100,small,low,100-motion,High Density,17.6625,18.780739218942777,6.3585,6.582387107950229,0.7065000000000001,0.7081020036705358,0.0899666364665811
100,small,normal,100-motion,Low Density,35.325,38.0937179397442,12.717,12.658456993349333,1.4130000000000003,1.729332744396289,-0.6314564041291736
100,small,normal,100-motion,Medium Density,70.65,73.00167229648486,25.434,24.309636106253237,2.8260000000000005,2.702148352282649,0.09149950826245869
100,small,normal,100-motion,High Density,141.3,143.9965097630864,50.868,50.06593040138344,5.652000000000001,4.6652742376673535,-0.4536382218792553
100,medium,low,100-motion,Low Density,4.415625,4.606017495567466,1.589625,0.6525045805086056,0.17662500000000003,0.0950633317715873,-0.35374410781344723
100,medium,low,100-motion,Medium Density,8.83125,9.57567269974904,3.17925,2.8254622132055367,0.35325000000000006,0.4724134042403081,0.052642093357978786
100,medium,low,100-motion,High Density,17.6625,18.964616288439952,6.3585,5.8045279207148734,0.7065000000000001,0.11217893581204402,-0.14615860976925252
100,medium,normal,100-motion,Low Density,35.325,36.00462135559695,12.717,12.273207308558291,1.4130000000000003,1.1761538523973813,-0.5722909142617013
100,medium,normal,100-motion,Medium Density,70.65,70.64425787817383,25.434,24.879950476499207,2.8260000000000005,2.8118679923548995,-0.5611075476246753
100,medium,normal,100-motion,High Density,141.3,141.81058149817085,50.868,51.45888357463672,5.652000000000001,5.012726479967822,0.17586756632505463
100,large,low,100-motion,Low Density,4.415625,4.57310302032356,1.589625,1.8656127042652326,0.17662500000000003,-0.06772102701932418,-0.37304006008795104
100,large,low,100-motion,Medium Density,8.83125,9.023081719571495,3.17925,3.3449168312933595,0.35325000000000006,0.07954272370313721,0.38229419232997763
100,large,low,100-motion,High Density,17.6625,17.35608622356961,6.3585,6.724684211868603,0.7065000000000001,0.6306695577772075,0.10340305327248277
100,large,normal,100-motion,Low Density,35.325,36.277068838659794,12.717,12.397442045969953,1.4130000000000003,1.7697401021571293,0.47759909277400947
100,large,normal,100-motion,Medium Density,70.65,70.99055271871168,25.434,26.054074001313666,2.8260000000000005,3.2868060647622617,-0.6005629014508741
