VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
80,small,low,80,Low Density,4.415625,3.691872441487484,1.589625,0.0,0.176625,0.0
80,small,low,80,Medium Density,8.83125,6.100286806112628,3.17925,1.8410592426176025,0.35325,0.0
80,small,low,80,High Density,17.6625,18.999487534907345,6.3585,5.429448304491065,0.7065,0.0
80,small,normal,80,Low Density,35.325,38.13796894640967,12.717,14.137140343146422,1.413,1.3009339151476702
80,small,normal,80,Medium Density,70.65,72.81937964591808,25.434,28.718802898437133,2.826,3.357799439846938
80,small,normal,80,High Density,141.3,144.93769368620363,50.868,51.94713251057322,5.652,6.893608581297961
80,medium,low,80,Low Density,4.415625,9.904206559673653,1.589625,9.924392623031622,0.176625,5.4237864029412215
80,medium,low,80,Medium Density,8.83125,10.39533970917807,3.17925,22.987855203150982,0.35325,5.796880539488512
80,medium,low,80,High Density,17.6625,38.232326964451204,6.3585,37.986163557317525,0.7065,7.172696807604387
80,medium,normal,80,Low Density,35.325,42.18064612274313,12.717,17.614216055979774,1.413,3.429272182659605
80,medium,normal,80,Medium Density,70.65,77.45373526694108,25.434,56.12577006327322,2.826,12.795559559524204
80,medium,normal,80,High Density,141.3,148.77235782692514,50.868,61.06241257290095,5.652,16.807724674785607
80,large,low,80,Low Density,4.415625,32.69287527336093,1.589625,76.52968126263565,0.176625,13.045748597094256
80,large,low,80,Medium Density,8.83125,32.94954004438939,3.17925,18.672999589805798,0.35325,23.200603422945555
80,large,low,80,High Density,17.6625,26.09525439383055,6.3585,73.31243035574013,0.7065,15.014919620026884
80,large,normal,80,Low Density,35.325,81.05643558939718,12.717,49.50410365284242,1.413,13.45956651235516
80,large,normal,80,Medium Density,70.65,82.40825404458373,25.434,38.439876554741744,2.826,23.00361961816348
80,large,normal,80,High Density,141.3,156.33637913411584,50.868,92.8296216478931,5.652,16.05675566266112
100,small,low,100,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
100,small,low,100,Medium Density,8.83125,2.067145349010095,3.17925,0.0,0.35325,0.0
100,small,low,100,High Density,17.6625,15.474266339419872,6.3585,4.376121362317693,0.7065,0.0
100,small,normal,100,Low Density,35.325,37.54746882976024,12.717,13.936397085024975,1.413,1.199016706816363
100,small,normal,100,Medium Density,70.65,72.24220467349603,25.434,27.072001611028874,2.826,2.3140443206431742
100,small,normal,100,High Density,141.3,144.5162672788157,50.868,50.86408433203472,5.652,6.076176451451039
100,medium,low,100,Low Density,4.415625,7.046082439538399,1.589625,0.0,0.176625,0.0
100,medium,low,100,Medium Density,8.83125,10.814797760163652,3.17925,3.3121719228455015,0.35325,0.0
100,medium,low,100,High Density,17.6625,17.957464920582538,6.3585,6.344593284243674,0.7065,0.0
100,medium,normal,100,Low Density,35.325,38.58422756805401,12.717,18.34820494620599,1.413,1.5309221042142633
100,medium,normal,100,Medium Density,70.65,77.34603302648442,25.434,26.50630083195135,2.826,4.46408861580407
100,medium,normal,100,High Density,141.3,145.56718795801098,50.868,56.32454807050278,5.652,6.076718611166873
100,large,low,100,Low Density,4.415625,26.064882362944687,1.589625,10.995179177015384,0.176625,14.696338323422427
100,large,low,100,Medium Density,8.83125,57.98887046921307,3.17925,26.20398300263853,0.35325,11.710428299455039
100,large,low,100,High Density,17.6625,20.75248201432493,6.3585,46.40464925494272,0.7065,5.330497696555698
100,large,normal,100,Low Density,35.325,41.6874780228494,12.717,76.9327110007495,1.413,12.250824186909668
100,large,normal,100,Medium Density,70.65,79.7202306528965,25.434,60.47312230038391,2.826,10.202853671439566
100,large,normal,100,High Density,141.3,155.58031091188516,50.868,65.88125422580984,5.652,30.39203212983993
120,small,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
120,small,low,120,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0
120,small,low,120,High Density,17.6625,14.673316380294315,6.3585,3.3196617164178637,0.7065,0.0
120,small,normal,120,Low Density,35.325,36.39438381518679,12.717,12.289238867215964,1.413,1.0495640047615848
120,small,normal,120,Medium Density,70.65,71.68221372490095,25.434,26.45281224670601,2.826,2.460064047359733
120,small,normal,120,High Density,141.3,142.45417209122286,50.868,51.553697404322435,5.652,5.578678058491441
120,medium,low,120,Low Density,4.415625,1.4416775396453727,1.589625,1.8400898511713017,0.176625,0.0
120,medium,low,120,Medium Density,8.83125,5.0235157052991015,3.17925,3.047977403475892,0.35325,0.0
120,medium,low,120,High Density,17.6625,14.727290558838884,6.3585,6.301577545876324,0.7065,0.0
120,medium,normal,120,Low Density,35.325,37.48033015604546,12.717,13.566500544391653,1.413,0.0
120,medium,normal,120,Medium Density,70.65,78.05739948812752,25.434,30.94696250096151,2.826,3.2746088780028066
120,medium,normal,120,High Density,141.3,146.5631566457942,50.868,54.077283438663756,5.652,5.960576767901325
120,large,low,120,Low Density,4.415625,19.26903046961424,1.589625,14.259992540040756,0.176625,9.600426153488423
120,large,low,120,Medium Density,8.83125,24.682285048569614,3.17925,21.020255719428803,0.35325,2.5304024574765105
120,large,low,120,High Density,17.6625,18.974748332266024,6.3585,21.20320678013436,0.7065,6.620208758182123
120,large,normal,120,Low Density,35.325,42.272424880916404,12.717,37.437864609944434,1.413,4.494064090573008
120,large,normal,120,Medium Density,70.65,82.73812527534284,25.434,60.19946841277533,2.826,34.10890077885368
120,large,normal,120,High Density,141.3,199.55387114660724,50.868,91.01575841806113,5.652,11.683922893181656
135,small,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
135,small,low,135,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0
135,small,low,135,High Density,17.6625,14.672683631576625,6.3585,3.6513675597132393,0.7065,0.0
135,small,normal,135,Low Density,35.325,37.30847396608976,12.717,13.150300286385553,1.413,0.0
135,small,normal,135,Medium Density,70.65,74.21198724101943,25.434,25.231907628464796,2.826,2.527223566409899
135,small,normal,135,High Density,141.3,145.3220764078416,50.868,52.370995275463656,5.652,5.733302399328841
135,medium,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
135,medium,low,135,Medium Density,8.83125,2.460416085492305,3.17925,0.0,0.35325,0.0
135,medium,low,135,High Density,17.6625,15.37061071590221,6.3585,5.081707210665457,0.7065,0.0
135,medium,normal,135,Low Density,35.325,37.206803474646414,12.717,13.28804424353908,1.413,2.6823428204763404
135,medium,normal,135,Medium Density,70.65,74.52719149869411,25.434,29.273995000657276,2.826,2.9277353744575634
135,medium,normal,135,High Density,141.3,147.45196712352708,50.868,58.20488205517768,5.652,6.548935627556471
135,large,low,135,Low Density,4.415625,4.767832751819585,1.589625,0.0,0.176625,0.0
135,large,low,135,Medium Density,8.83125,17.324248829314765,3.17925,6.378169667702112,0.35325,6.947941593039798
135,large,low,135,High Density,17.6625,36.383356462648514,6.3585,23.50353065626168,0.7065,3.036053688401016
135,large,normal,135,Low Density,35.325,43.10513335279853,12.717,35.24270843727402,1.413,6.196708424129474
135,large,normal,135,Medium Density,70.65,78.00642872062471,25.434,31.740287359983355,2.826,9.606565254512809
135,large,normal,135,High Density,141.3,149.41947002187246,50.868,63.2268368210063,5.652,11.203934055462224
