VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,small,low,80,Low Density,4.415625,3.691872441487484,1.589625,0.0,0.176625,0.0,26.32928715753679,17.129638536783123,12.701870591676807,9.015966525348546
80,small,low,80,Medium Density,8.83125,6.100286806112628,3.17925,1.8410592426176025,0.35325,0.0,57.56966739003715,25.29812230867128,15.777464136920093,9.015966525348546
80,small,low,80,High Density,17.6625,18.999487534907345,6.3585,5.429448304491065,0.7065,0.0,178.9108429723258,57.03516185503225,13.810117993240718,9.015966525348546
80,small,normal,80,Low Density,35.325,38.13796894640967,12.717,14.137140343146422,1.413,1.3009339151476702,275.09640283002267,114.25494618580936,23.6487372945098,9.015966525348546
80,small,normal,80,Medium Density,70.65,72.81937964591808,25.434,28.718802898437133,2.826,3.357799439846938,311.9311234992683,150.15471673872315,36.08919083826335,9.015966525348546
80,small,normal,80,High Density,141.3,144.93769368620363,50.868,51.94713251057322,5.652,6.893608581297961,367.06500584430796,162.27884814689912,44.624866565931825,9.015966525348546
80,medium,low,80,Low Density,4.415625,9.904206559673653,1.589625,9.924392623031622,0.176625,5.4237864029412215,56.392490951676535,49.90910637194966,37.6654104399157,12.797139403489329
80,medium,low,80,Medium Density,8.83125,10.39533970917807,3.17925,22.987855203150982,0.35325,5.796880539488512,93.79700963791598,73.73563240930493,36.63609997230087,12.797139403489329
80,medium,low,80,High Density,17.6625,38.232326964451204,6.3585,37.986163557317525,0.7065,7.172696807604387,175.96770228104765,88.5761366341048,42.88033161113518,12.797139403489329
80,medium,normal,80,Low Density,35.325,42.18064612274313,12.717,17.614216055979774,1.413,3.429272182659605,301.8143674411561,130.17935760904084,43.89318775327673,12.797139403489329
80,medium,normal,80,Medium Density,70.65,77.45373526694108,25.434,56.12577006327322,2.826,12.795559559524204,342.41668340236225,193.87295161255764,56.29898962245488,12.797139403489329
80,medium,normal,80,High Density,141.3,148.77235782692514,50.868,61.06241257290095,5.652,16.807724674785607,377.06177976208187,210.5051397119782,68.75133141250727,12.797139403489329
