VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,ground_truth_mass_medium,ground_truth_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,small,low,80,Low Density,4.415625,1.589625,0.17662500000000003,13.796918148293656,10.607587405132694,9.136167058903744,9.015966525348546
80,small,low,80,Medium Density,8.83125,3.17925,0.35325000000000006,42.67024157010116,17.567130637256135,9.247289082857616,9.015966525348546
80,small,low,80,High Density,17.6625,6.3585,0.7065000000000001,157.72083502540363,50.38924973909758,11.058188644867066,9.015966525348546
80,small,normal,80,Low Density,35.325,12.717,1.4130000000000003,271.7889979993504,109.31068755119315,18.738127000491936,9.015966525348546
80,small,normal,80,Medium Density,70.65,25.434,2.8260000000000005,321.54777285847933,135.47933072150443,31.205996821000852,9.015966525348546
80,small,normal,80,High Density,141.3,50.868,5.652000000000001,358.3092941719104,157.48395922436163,39.06025761198738,9.015966525348546
80,medium,low,80,Low Density,4.415625,1.589625,0.17662500000000003,19.40084607795523,14.130585352561111,13.2078989334088,12.797139403489329
80,medium,low,80,Medium Density,8.83125,3.17925,0.35325000000000006,50.63175089668573,18.779408832001753,12.87997628566815,12.797139403489329
80,medium,low,80,High Density,17.6625,6.3585,0.7065000000000001,152.08036218290925,56.10305970256282,16.20286210019805,12.797139403489329
80,medium,normal,80,Low Density,35.325,12.717,1.4130000000000003,279.6019762289905,113.78614900569251,22.885282579538902,12.797139403489329
80,medium,normal,80,Medium Density,70.65,25.434,2.8260000000000005,326.9667888996533,141.76130150699552,35.83952420161897,12.797139403489329
80,medium,normal,80,High Density,141.3,50.868,5.652000000000001,357.5897003868306,164.83899704909282,40.35449547290566,12.797139403489329
80,large,low,80,Low Density,4.415625,1.589625,0.17662500000000003,26.51608939714005,24.11947562225297,18.220595751910185,17.219623828126213
80,large,low,80,Medium Density,8.83125,3.17925,0.35325000000000006,43.7564538307339,26.38233533768443,18.284137482307486,17.219623828126213
80,large,low,80,High Density,17.6625,6.3585,0.7065000000000001,166.15900372721183,66.38270304946361,18.938579514096787,17.219623828126213
80,large,normal,80,Low Density,35.325,12.717,1.4130000000000003,277.2602138343805,122.26969995988225,25.63126248473778,17.219623828126213
80,large,normal,80,Medium Density,70.65,25.434,2.8260000000000005,320.1563303871632,145.17810254048186,41.45038460881419,17.219623828126213
80,large,normal,80,High Density,141.3,50.868,5.652000000000001,357.29247088361876,172.90746014486345,46.600408437523306,17.219623828126213
100,small,low,100,Low Density,4.415625,1.589625,0.17662500000000003,19.567869962573987,17.792006691488158,15.672871471589671,15.63606913327985
100,small,low,100,Medium Density,8.83125,3.17925,0.35325000000000006,32.87877623185066,21.99979997555935,15.675126629148902,15.63606913327985
100,small,low,100,High Density,17.6625,6.3585,0.7065000000000001,139.85411972332662,54.10316142047129,17.942789409585217,15.63606913327985
100,small,normal,100,Low Density,35.325,12.717,1.4130000000000003,260.25358291779065,108.98018030577124,22.445685523806326,15.63606913327985
100,small,normal,100,Medium Density,70.65,25.434,2.8260000000000005,317.0038486082165,145.32585059806166,36.53118200359314,15.63606913327985
100,small,normal,100,High Density,141.3,50.868,5.652000000000001,351.1362921568119,163.11312244158165,45.1897265641501,15.63606913327985
100,medium,low,100,Low Density,4.415625,1.589625,0.17662500000000003,27.180568877555874,24.309565863124615,22.261084340438295,22.193625513752288
100,medium,low,100,Medium Density,8.83125,3.17925,0.35325000000000006,43.98566436168561,31.553042631735927,22.634181355116223,22.193625513752288
100,medium,low,100,High Density,17.6625,6.3585,0.7065000000000001,148.20805769806663,63.35114365681474,23.86396720229817,22.193625513752288
100,medium,normal,100,Low Density,35.325,12.717,1.4130000000000003,271.4173766719399,115.63397250224685,30.08080600959748,22.193625513752288
100,medium,normal,100,Medium Density,70.65,25.434,2.8260000000000005,320.86316506110063,146.15840618206775,40.75010577182117,22.193625513752288
100,medium,normal,100,High Density,141.3,50.868,5.652000000000001,360.02349586516743,165.97973870838493,48.30261066541912,22.193625513752288
100,large,low,100,Low Density,4.415625,1.589625,0.17662500000000003,34.311093278630935,31.399236489421526,30.387185475332824,29.86338616499686
100,large,low,100,Medium Density,8.83125,3.17925,0.35325000000000006,49.97209990952288,34.94114648030788,31.34765912970845,29.86338616499686
100,large,low,100,High Density,17.6625,6.3585,0.7065000000000001,141.228858203992,61.207296101632764,33.573983826257844,29.86338616499686
100,large,normal,100,Low Density,35.325,12.717,1.4130000000000003,279.79197524432504,123.1921195800756,39.28201853239912,29.86338616499686
100,large,normal,100,Medium Density,70.65,25.434,2.8260000000000005,326.64260550906704,148.44612405258403,50.38593295473774,29.86338616499686
100,large,normal,100,High Density,141.3,50.868,5.652000000000001,364.0477216294063,178.7558936552598,58.242998207244995,29.86338616499686
120,small,low,120,Low Density,4.415625,1.589625,0.17662500000000003,30.161553216910555,27.524476982068176,26.779018435707215,26.715244895938195
120,small,low,120,Medium Density,8.83125,3.17925,0.35325000000000006,40.6627111147659,31.333246678510967,27.111590249115892,26.715244895938195
120,small,low,120,High Density,17.6625,6.3585,0.7065000000000001,140.80348464172096,61.44832916815136,27.257089495630645,26.715244895938195
120,small,normal,120,Low Density,35.325,12.717,1.4130000000000003,270.7652128625556,116.26979959381498,31.964141525445953,26.715244895938195
120,small,normal,120,Medium Density,70.65,25.434,2.8260000000000005,326.90339905449804,150.99776258619545,47.885846944501175,26.715244895938195
120,small,normal,120,High Density,141.3,50.868,5.652000000000001,361.93275273836946,173.6536266327357,54.908117583088824,26.715244895938195
120,medium,low,120,Low Density,4.415625,1.589625,0.17662500000000003,43.42042093570308,39.78239379575217,38.04372490357589,37.9192634068227
120,medium,low,120,Medium Density,8.83125,3.17925,0.35325000000000006,56.787710124220446,45.12471985971046,38.501284241709854,37.9192634068227
120,medium,low,120,High Density,17.6625,6.3585,0.7065000000000001,130.46632507879656,68.14043665533403,38.26515352790765,37.9192634068227
120,medium,normal,120,Low Density,35.325,12.717,1.4130000000000003,276.3050740197019,123.22576646195674,44.004397579903774,37.9192634068227
120,medium,normal,120,Medium Density,70.65,25.434,2.8260000000000005,336.48835266129345,158.37999782644607,55.97638853672536,37.9192634068227
120,medium,normal,120,High Density,141.3,50.868,5.652000000000001,373.55927364532334,184.94997094929795,62.06135315460027,37.9192634068227
120,large,low,120,Low Density,4.415625,1.589625,0.17662500000000003,54.574786488283905,52.123998915113134,51.27779093415511,51.02355642769442
120,large,low,120,Medium Density,8.83125,3.17925,0.35325000000000006,66.67967316613287,56.170674598829166,51.160814066938904,51.02355642769442
120,large,low,120,High Density,17.6625,6.3585,0.7065000000000001,149.53166393315237,78.99736000518205,51.70753647082653,51.02355642769442
120,large,normal,120,Low Density,35.325,12.717,1.4130000000000003,288.93355479858553,140.25674743655654,55.43371442644252,51.02355642769442
120,large,normal,120,Medium Density,70.65,25.434,2.8260000000000005,346.70425820083085,169.31935856397024,71.39089244045614,51.02355642769442
120,large,normal,120,High Density,141.3,50.868,5.652000000000001,390.5959809562755,198.4686340709137,77.28419093080822,51.02355642769442
