VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,4.816551272173698,1.589625,1.7589778210384706,0.17662500000000003,0.04175070260645734,-0.4984312813235165
80,small,low,80,Medium Density,8.83125,8.640576713964245,3.17925,3.83002260731228,0.35325000000000006,0.12424937377275568,-0.01550486842945814
80,small,low,80,High Density,17.6625,17.565288150403305,6.3585,6.571243033830022,0.7065000000000001,0.7965050025014895,0.04773820650314193
80,small,normal,80,Low Density,35.325,36.10284837964245,12.717,12.700627717416484,1.4130000000000003,1.2701877863337847,-0.40032598243087736
80,small,normal,80,Medium Density,70.65,71.40382220083295,25.434,25.024318909391365,2.8260000000000005,2.9544420454642037,-0.4023480019008412
80,small,normal,80,High Density,141.3,143.13784830628887,50.868,50.809365642214196,5.652000000000001,6.051870529622984,0.05598809618666648
80,medium,low,80,Low Density,4.415625,4.670519207431456,1.589625,0.9159991823521767,0.17662500000000003,0.40106514556020934,0.2261345562600807
80,medium,low,80,Medium Density,8.83125,8.987071067091772,3.17925,3.582211942050785,0.35325000000000006,-0.09095168487482944,-0.01660103366353134
80,medium,low,80,High Density,17.6625,18.320383336855148,6.3585,6.218785822469631,0.7065000000000001,1.111294935038633,0.038247749641747014
80,medium,normal,80,Low Density,35.325,36.28360455284576,12.717,13.50943074961898,1.4130000000000003,1.185575077539418,1.4785797453864546
80,medium,normal,80,Medium Density,70.65,71.78471824418264,25.434,26.12774496972054,2.8260000000000005,3.218763221952269,0.7030959571940181
80,medium,normal,80,High Density,141.3,141.51594213685186,50.868,51.19764635244293,5.652000000000001,5.403706100188011,0.0927593130894931
80,large,low,80,Low Density,4.415625,4.818698863381062,1.589625,1.9829417285614186,0.17662500000000003,0.1677563705577753,-1.010361338109443
80,large,low,80,Medium Density,8.83125,7.663843647930843,3.17925,2.425580073406543,0.35325000000000006,0.6674758146102115,-0.8076278558321365
80,large,low,80,High Density,17.6625,17.940127768415504,6.3585,6.074096420231661,0.7065000000000001,1.187279161992948,-0.2198433855503987
80,large,normal,80,Low Density,35.325,35.285137793213764,12.717,13.56761617092846,1.4130000000000003,1.4267558494209374,-0.7646614419166756
80,large,normal,80,Medium Density,70.65,68.48007505688916,25.434,25.2450284908397,2.8260000000000005,3.1250656230805394,-0.35569294869308166
80,large,normal,80,High Density,141.3,139.32954788469988,50.868,50.74453827777163,5.652000000000001,6.1137340580641855,-0.08455783476922199
100,small,low,100,Low Density,4.415625,4.554311062373582,1.589625,2.5143619494288414,0.17662500000000003,-0.03360430634598283,-0.3921058201442107
100,small,low,100,Medium Density,8.83125,8.989609723230942,3.17925,3.196896592359961,0.35325000000000006,0.050199499462491796,-0.49306729153779116
100,small,low,100,High Density,17.6625,17.38204345475806,6.3585,7.08347321602313,0.7065000000000001,0.6037056523230254,-0.1441068183810888
100,small,normal,100,Low Density,35.325,35.90450296158472,12.717,13.469918098284914,1.4130000000000003,1.682139885772108,0.4818101496586568
100,small,normal,100,Medium Density,70.65,70.63502946808559,25.434,25.990181676351312,2.8260000000000005,3.203387145197904,-0.0738135338744613
100,small,normal,100,High Density,141.3,141.7771593332305,50.868,50.92957003338542,5.652000000000001,5.984206247513483,0.03978217614387816
100,medium,low,100,Low Density,4.415625,4.642332787947311,1.589625,1.7834091626378197,0.17662500000000003,-0.3376395208207392,-0.03438667555760143
100,medium,low,100,Medium Density,8.83125,8.604764781432662,3.17925,4.028609404021287,0.35325000000000006,0.5096812175716534,0.09395956436841492
100,medium,low,100,High Density,17.6625,17.39549164186803,6.3585,6.514985373268836,0.7065000000000001,0.7400297789188484,0.01271137313212857
100,medium,normal,100,Low Density,35.325,35.91561079499206,12.717,13.38025925559015,1.4130000000000003,1.5343261030275999,0.4366826276620159
100,medium,normal,100,Medium Density,70.65,70.80297251059876,25.434,25.4524259701014,2.8260000000000005,2.8288069299292484,0.4276060948912968
100,medium,normal,100,High Density,141.3,140.29075909834316,50.868,49.99572067694951,5.652000000000001,5.331249109684013,-0.08293067160395852
100,large,low,100,Low Density,4.415625,5.054420984778331,1.589625,0.8915604703813728,0.17662500000000003,0.5252808124542331,-0.5826403994745267
100,large,low,100,Medium Density,8.83125,8.421760122586521,3.17925,3.2889861394672395,0.35325000000000006,0.4802014922801278,-0.6304526256146621
100,large,low,100,High Density,17.6625,17.672362691772474,6.3585,6.665752553171969,0.7065000000000001,0.977946140760688,-0.03800045242904376
100,large,normal,100,Low Density,35.325,34.51953722877708,12.717,13.718484816630571,1.4130000000000003,1.6143355954729568,-0.12263521528114332
100,large,normal,100,Medium Density,70.65,70.36605066942788,25.434,25.02767391059531,2.8260000000000005,2.7130869326784026,-0.7504067608561095
100,large,normal,100,High Density,141.3,139.83448759575637,50.868,51.79268125738527,5.652000000000001,5.7874329918329295,-0.18195449545718215
120,small,low,120,Low Density,4.415625,4.736854987066508,1.589625,1.6555630347035521,0.17662500000000003,0.026096019405663858,0.36382420922123715
