VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80-motion,Low Density,4.415625,5.001877549542841,1.589625,1.742247089778427,0.17662500000000003,-0.03924525002401125,-0.6173466075599321
80,small,low,80-motion,Medium Density,8.83125,8.604394436354506,3.17925,3.797916039140767,0.35325000000000006,0.03205184623741811,-0.3265155760552368
80,small,low,80-motion,High Density,17.6625,18.227577819134467,6.3585,6.654854133257416,0.7065000000000001,0.6134342342701364,0.021175084808061146
80,small,normal,80-motion,Low Density,35.325,37.51975625385748,12.717,13.094024699009905,1.4130000000000003,1.168998992651214,-0.4126640226572771
80,small,normal,80-motion,Medium Density,70.65,73.05331361789493,25.434,23.863338739355406,2.8260000000000005,2.512949860374258,-0.4457283330781657
80,small,normal,80-motion,High Density,141.3,144.2593998591346,50.868,49.214216667399675,5.652000000000001,4.790742918318932,-0.10909508189294821
80,medium,low,80-motion,Low Density,4.415625,4.723370072497552,1.589625,1.0758007908852387,0.17662500000000003,0.3499251553369347,-0.0072475398105594285
80,medium,low,80-motion,Medium Density,8.83125,9.165748663182582,3.17925,3.5257459698207727,0.35325000000000006,0.08960405520941161,-0.28994309698609916
80,medium,low,80-motion,High Density,17.6625,18.49840974716961,6.3585,6.341766527650368,0.7065000000000001,1.0906090712761267,0.09172994641403573
80,medium,normal,80-motion,Low Density,35.325,37.99311633641042,12.717,13.122279150427174,1.4130000000000003,1.3580803078749417,2.3012478396426084
80,medium,normal,80-motion,Medium Density,70.65,74.31440330430193,25.434,24.344539009491285,2.8260000000000005,2.1826349517607144,1.3069763789126259
80,medium,normal,80-motion,High Density,141.3,143.72127297971963,50.868,50.04049868944447,5.652000000000001,3.835173180447889,0.16498697024243214
80,large,low,80-motion,Low Density,4.415625,4.816323035181832,1.589625,2.074660921165309,0.17662500000000003,0.12441737578381845,-0.6036749643687245
80,large,low,80-motion,Medium Density,8.83125,7.687056544415023,3.17925,2.565238648366074,0.35325000000000006,0.675376763588509,0.19346178123015445
80,large,low,80-motion,High Density,17.6625,17.69546120570213,6.3585,6.112918207358502,0.7065000000000001,1.1740348887312126,0.10646340702950555
80,large,normal,80-motion,Low Density,35.325,36.975144320693786,12.717,13.87208898312184,1.4130000000000003,1.6506173283183465,-0.743929633308094
80,large,normal,80-motion,Medium Density,70.65,70.0601433507287,25.434,25.024720276831104,2.8260000000000005,2.7106996694184406,-1.0131996017250882
